Index,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Pages,Num Pages,Issue,Volume,Notes,Manual Tags
1,conferencePaper,2013,"Buccoli, M.; Zanoni, M.; Sarti, A.; Tubaro, S.",A music search engine based on semantic text-based query,2013 IEEE 15th International Workshop on Multimedia Signal Processing (MMSP),,,10.1109/MMSP.2013.6659297,,254–259,,,,A1,a posterior probability model; Bayesian decision theory; Bayes methods; categorical music descriptors; computational modeling; dimensional spaces; Gaussian distribution; meta-information; mood; music; musical content; music repository; music search engine; natural language parser; natural language processing; natural languages; nonemotional musical aspect; probability distributions; query-by-similarity search; query processing; search engines; semantic cues; semantic description; semantics; semantic text-based query; song retrieval; song search; specific descriptors; Standards
2,conferencePaper,2006,"Kim, S.; Kim, S.; Kwon, S. b; Kim, H.",A Music Summarization Scheme using Tempo Tracking and Two Stage Clustering,2006 IEEE Workshop on Multimedia Signal Processing,,,10.1109/MMSP.2006.285302,,225–228,,,,A1,2-dimensional similarity matrix; acoustic signal processing; audio signal processing; clustering; clustering technique; Databases; data mining; feature extraction; hidden Markov models; matrix algebra; matrix decomposition; mood; Multiple signal classification; music; music summarization; pattern clustering; psychology; real-time application; rhythm; segments extraction; semantic structure; signal processing technology; signal representation; tempo tracking; tracking
3,conferencePaper,2011,"Nishikawa, Naoki; Itoyama, Katsutoshi; Fujihara, Hiromasa; Goto, Masataka; Ogata, Tetsuya; Okuno, Hiroshi G.",A Musical Mood Trajectory Estimation Method Using Lyrics and Acoustic Features,Proceedings of the 1st International ACM Workshop on Music Information Retrieval with User-centered and Multimodal Strategies,978-1-4503-0986-8,,10.1145/2072529.2072543,http://doi.acm.org/10.1145/2072529.2072543,51–56,,,,A1,lyrics and audio signals music information retrieval; mood trajectory; musical mood estimation; musical mood representation; time-varying impression
4,conferencePaper,2009,"Jun, S.; Han, B. j; Hwang, E.",A Similar Music Retrieval Scheme Based on Musical Mood Variation,2009 First Asian Conference on Intelligent Information and Database Systems,,,10.1109/ACIIDS.2009.65,,167–172,,,,A1,acoustic signal detection; Clustering algorithms; computer vision; content-based retrieval; Content based retrieval; Database systems; Deductive databases; feature extraction; Humans; K-means clustering algorithm; longest common subsequence; longest common subsequence algorithm; mood; Multiple signal classification; music; musical mood variation; music information retrieval; music mood; music retrieval scheme; pattern clustering; Similar music retrieval
5,conferencePaper,2015,"Priyadarshini, P.; Chakraborty, S.",A study on artist similarity from raga performance,"International Conference on Computing, Communication Automation",,,10.1109/CCAA.2015.7148375,,219–222,,,,A1,artist classification; automation; feature extraction; Gharana; harmony; hidden Markov models; instrumentation; mel-frequency cepstral coefficient; Mel frequency cepstral coefficient; melody; MFCC; mir; music; music database; music industry; music retrieval; projection pursuit; projection pursuit technique; query processing; raga; rhythm; speech recognition
6,conferencePaper,2014,"Mahto, K.; Hotta, A.; Solanki, S. S.; Chakraborty, S.",A study on artist similarity using projection pursuit and MFCC: Identification of Gharana from raga performance,2014 International Conference on Computing for Sustainable Global Development (INDIACom),,,10.1109/IndiaCom.2014.6828042,,647–653,,,,A1,artist classification; artist similarity; audio signal processing; classification purpose; cultural styles; entropy; feature extraction; folk music; Gharana; Gharana identification; Indian classical music; Mel frequency cepstral coefficient; Mel frequency cepstral coefficients; MFCC; music; objective signatures; perceptual signatures; principal component analysis; projection pursuit; projection pursuit technique; raga; Raga performance; rendering (computer graphics); scientific perspective; signal classification; Transient analysis
7,journalArticle,2011,"Fu, Z.; Lu, G.; Ting, K. M.; Zhang, D.",A Survey of Audio-Based Music Classification and Annotation,IEEE Transactions on Multimedia,,1520-9210,10.1109/TMM.2010.2098858,,303–319,,2,13,A1,acoustic signal processing; audio-based music classification; audio signal processing; Classification algorithms; feature extraction; music; music annotation; music information retrieval; music querying; pattern classification; query processing; signal classification
8,conferencePaper,2012,"Gao, B.; Dellandréa, E.; Chen, L.",Accelerated dictionary learning with GPU/Multi-core CPU and its application to music classification,2012 IEEE 11th International Conference on Signal Processing,,,10.1109/ICoSP.2012.6491789,,1188–1193,,,2,A1,accelerated dictionary learning; ACML; AMD core Math library; audio signal processing; bag-of-words; basic linear algebra subprogram; compute unified device architecture; CUBLAS; CUDA; Gaussian processes; GMM; GMM training; GPU; GPU acceleration; graphics processing units; K-means; k-means clustering; linear algebra; matrix multiplication; multicore CPU; music; music classification; music genre; NVIDIA; parallel architectures; signal classification; signal processing
9,conferencePaper,2009,"Liu, Y.; Gao, Y.",Acquiring Mood Information from Songs in Large Music Database,"2009 Fifth International Joint Conference on INC, IMS and IDC",,,10.1109/NCM.2009.311,,1485–1491,,,,A1,active selection algorithm; classifier; computer vision; data analysis; Databases; emotional expression; feature extraction; feature selection; feature selection algorithms; gaussian mixture model; information retrieval; large music database; mood; mood detection; mood information; music; music information retrieval; music mood classification; music mood taxonomy; music retrieval; pattern classification; songs; stress; support vector machine; Support vector machine classification; Support Vector Machines; taxonomy; Web site
10,conferencePaper,2010,"Chen, C. C.; Chen, C. H.; Lu, P. T.; Chen, O. T. C.",Affective understanding of online songs and speeches,2010 53rd IEEE International Midwest Symposium on Circuits and Systems,,,10.1109/MWSCAS.2010.5548856,,363–366,,,,A1,affective computing; affective understanding; averaged spectral centroid; averaged spectral spread; cepstral analysis; coarse-to-fine classification; emotion recognition; feature extraction; fundamental-frequency standard deviation; intensity mean; Mel frequency cepstral coefficient; mood; multimedia communication; multimedia resources; music; online songs; online speeches; rhythm; rhythm regularity; speech analysis; Support vector machine classification; Support Vector Machines; two-layer hierarchical classifier; Web sites; zero crossing rate
11,conferencePaper,2016,"Wood, P. A.; Semwal, S. K.",An algorithmic approach to music retrieval by emotion based on feature data,2016 Future Technologies Conference (FTC),,,10.1109/FTC.2016.7821602,,140–144,,,,A1,Bars; data mining; emotion categories; feature data extraction; feature extraction; human emotion representation; information retrieval; instrumental music excerpts; linear regression; machine learning; mood; music; music information retrieval; music retrieval; Predictive models; Signal mapping; Springs
12,conferencePaper,2010,"Myint, E. E. P.; Pwint, M.",An approach for mulit-label music mood classification,2010 2nd International Conference on Signal Processing Systems,,,10.1109/ICSPS.2010.5555619,,V1–290–V1–294,,,1,A1,accuracy; computational complexity; computational complexity reduction; error probability; feature extraction; fuzzy set theory; fuzzy support vector machine; human perception; Image segmentation; information retrieval; mood; mood taxonomy model; multilabel music mood classification approach; music; music emotion; music mood; music retrieval; O-A-O approach; one-against-one multiclass classification method; pattern classification; Schubert updated Hevner adjective model; selfcolored music mood segmentation; self-colored music mood segmentation; Support Vector Machines; taxonomy; Thayer 2D model
